City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,279.84,97,100,16.34,TF,1699924180
1,moyale,3.5167,39.0584,292.98,86,100,2.64,KE,1699924180
2,port mathurin,-19.6833,63.4167,298.38,77,1,2.12,MU,1699924181
3,ola,59.5833,151.2833,258.89,75,66,5.91,RU,1699924182
4,hihifo,59.5833,151.2833,258.89,75,66,5.91,RU,1699924182
5,bogale,16.2833,95.4,298.34,89,95,2.48,MM,1699924094
6,turmalina,-17.2856,-42.73,297.67,42,5,0.52,BR,1699924183
7,tiksi,71.6872,128.8694,257.98,93,100,2.61,RU,1699924183
8,adamstown,-25.066,-130.1015,296.0,85,100,7.76,PN,1699924183
9,veinticinco de mayo,-35.4323,-60.1727,286.47,71,98,0.45,AR,1699924184
10,papatowai,-46.5619,169.4708,290.73,47,53,5.14,NZ,1699924028
11,taiohae,-46.5619,169.4708,290.73,47,53,5.14,NZ,1699924028
12,battambang,13.1027,103.1982,298.93,88,79,2.45,KH,1699924185
13,kavaratti,10.5669,72.642,300.51,71,44,1.43,IN,1699924185
14,grytviken,-54.2811,-36.5092,275.44,98,100,3.44,GS,1699924185
15,vorgashor,67.5833,63.95,258.99,90,100,3.41,RU,1699924186
16,dingwall,57.5953,-4.4272,281.12,97,100,1.61,GB,1699924186
17,blackmans bay,-43.0167,147.3167,289.55,47,23,1.34,AU,1699924186
18,vazante,-17.9869,-46.9078,301.06,26,7,0.11,BR,1699924187
19,kodiak,57.79,-152.4072,278.88,49,20,8.23,US,1699924187
20,shchyrets,57.79,-152.4072,278.88,49,20,8.23,US,1699924187
21,gebeit,21.0667,36.3167,297.87,70,100,1.73,SD,1699924188
22,bukama,-9.2,25.85,294.13,99,100,0.96,CD,1699924188
23,bethel,41.3712,-73.414,278.42,77,75,0.0,US,1699923941
24,north bend,43.4065,-124.2243,286.52,82,0,3.6,US,1699924188
25,sao jose da coroa grande,-8.8978,-35.1478,298.45,85,100,3.2,BR,1699924189
26,al bardiyah,31.7561,25.0865,293.55,67,0,7.38,LY,1699924189
27,waitangi,-43.9535,-176.5597,286.36,88,1,9.08,NZ,1699924032
28,kulhudhuffushi,6.6221,73.07,300.72,74,31,1.93,MV,1699924190
29,edinburgh of the seven seas,-37.0676,-12.3116,286.77,77,8,11.32,SH,1699924190
