City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,296.06,87,100,7.91,PN,1699936302
1,masterton,-40.9597,175.6575,290.86,63,70,5.91,NZ,1699936302
2,cloverdale,38.8055,-123.0172,286.89,84,52,0.45,US,1699936303
3,port mathurin,-19.6833,63.4167,298.69,77,1,3.46,MU,1699936303
4,stanley,54.868,-1.6985,281.92,92,20,3.09,GB,1699936304
5,aykhal,66.0,111.5,264.46,94,100,3.9,RU,1699936152
6,tiksi,71.6872,128.8694,259.0,95,100,1.84,RU,1699936304
7,daye,30.0833,114.95,286.74,40,0,0.7,CN,1699936305
8,hawaiian paradise park,19.5933,-154.9731,295.88,94,40,2.06,US,1699936204
9,taiohae,19.5933,-154.9731,295.88,94,40,2.06,US,1699936204
10,tura,25.5198,90.2201,299.96,56,16,0.9,IN,1699936306
11,san jose del cabo,23.0589,-109.6977,300.23,80,0,4.63,MX,1699936307
12,selfoss,63.9331,-20.9971,279.29,76,78,8.2,IS,1699936307
13,zhangye,38.9342,100.4517,279.47,24,61,7.59,CN,1699936307
14,badger,64.8,-147.5333,270.08,91,100,0.0,US,1699936308
15,kolwezi,-10.7148,25.4667,290.26,94,97,0.67,CD,1699936308
16,jamestown,42.097,-79.2353,280.12,68,0,5.66,US,1699936242
17,susuman,62.7833,148.1667,242.01,99,72,0.63,RU,1699936310
18,bethel,41.3712,-73.414,277.94,82,0,1.54,US,1699936156
19,nukunonu,41.3712,-73.414,277.94,82,0,1.54,US,1699936156
20,belyy yar,53.6039,91.3903,276.09,81,0,4.0,RU,1699936311
21,port-aux-francais,-49.35,70.2167,279.4,96,100,14.09,TF,1699936311
22,waitangi,-43.9535,-176.5597,289.16,85,15,2.24,NZ,1699936312
23,fortuna,40.5982,-124.1573,286.44,95,100,0.45,US,1699936312
24,papatowai,-46.5619,169.4708,288.84,56,59,6.96,NZ,1699936107
25,kegeyli shahar,42.7767,59.6078,275.2,33,16,5.68,UZ,1699936313
26,hami,42.8,93.45,279.79,26,67,1.3,CN,1699936313
27,enewetak,11.3474,162.3373,301.54,81,90,8.19,MH,1699936314
28,ushuaia,-54.8,-68.3,273.96,75,0,2.06,AR,1699936314
29,yuzhno-kurilsk,44.0306,145.8556,275.58,80,44,8.83,RU,1699936314
30,revda,56.801,59.9303,275.99,96,100,5.5,RU,1699936315
31,ilulissat,69.2167,-51.1,268.16,68,100,4.12,GL,1699936315
32,olonkinbyen,70.9221,-8.7187,271.82,78,97,4.02,SJ,1699936316
33,qaqortoq,60.7167,-46.0333,267.11,91,96,2.14,GL,1699936316
34,grytviken,-54.2811,-36.5092,274.74,98,100,3.22,GS,1699936316
35,longyearbyen,78.2186,15.6401,262.06,73,40,2.57,SJ,1699936317
36,ribeira grande,38.5167,-28.7,289.69,81,100,1.79,PT,1699936317
37,udachny,66.4167,112.4,266.18,85,100,3.52,RU,1699936317
38,constantia,44.1833,28.65,277.53,65,54,4.69,RO,1699936318
39,bamboo flat,11.7,92.7167,301.2,83,100,2.06,IN,1699936318
40,bandarbeyla,9.4942,50.8122,301.04,76,91,8.07,SO,1699936228
41,kristinestad,62.2743,21.376,269.87,92,100,4.43,FI,1699936319
42,iqaluit,63.7506,-68.5145,255.2,59,0,3.09,CA,1699936319
43,andalgala,-27.5819,-66.3165,285.88,44,0,0.11,AR,1699936250
44,fukuecho,32.6881,128.8419,286.35,62,75,4.12,JP,1699936319
45,sao jose da coroa grande,-8.8978,-35.1478,297.71,87,80,1.65,BR,1699936320
46,avarua,-21.2078,-159.775,296.18,64,40,3.09,CK,1699936120
47,albany,42.6001,-73.9662,274.99,87,72,0.88,US,1699935932
48,college,64.8569,-147.8028,270.12,91,100,0.0,US,1699936101
49,christchurch,-43.5333,172.6333,297.26,38,61,8.23,NZ,1699936091
50,bardai,11.65,7.2333,293.44,18,83,3.42,NG,1699936321
51,kodiak,57.79,-152.4072,278.88,45,75,8.23,US,1699936169
52,arraial do cabo,-22.9661,-42.0278,296.44,92,48,6.86,BR,1699936322
53,wailua homesteads,22.0669,-159.378,300.39,81,20,7.72,US,1699936323
54,olyokminsk,60.3736,120.4264,267.72,86,100,2.47,RU,1699936323
55,lebu,-37.6167,-73.65,281.93,90,33,4.5,CL,1699936324
56,blackmans bay,-43.0167,147.3167,290.78,46,10,0.89,AU,1699936324
57,gadzhiyevo,69.2551,33.3362,264.07,98,95,1.42,RU,1699936325
58,caucete,-31.6518,-68.2811,287.49,31,0,1.28,AR,1699936325
59,urucara,-2.5364,-57.76,299.85,54,75,0.42,BR,1699936326
60,alice springs,-23.7,133.8833,309.9,13,14,3.09,AU,1699936056
61,callao,-12.0667,-77.15,294.1,77,100,4.63,PE,1699936327
62,turpan,42.9333,89.1667,284.39,25,100,0.54,CN,1699936327
63,mata-utu,-13.2816,-176.1745,302.34,75,73,6.34,WF,1699936327
64,papao,-17.75,-149.55,300.97,94,96,8.01,PF,1699936129
65,tanjung sepat,2.6579,101.5629,303.57,70,40,2.57,MY,1699936328
66,margaret river,-33.95,115.0667,294.1,61,98,5.46,AU,1699936329
67,guru har sahai,30.7167,74.4167,297.43,30,5,1.65,IN,1699936329
68,guanare,9.0418,-69.7421,296.62,92,91,1.56,VE,1699936329
69,puerto ayora,-0.7393,-90.3518,296.23,100,73,2.68,EC,1699936330
70,rabo de peixe,37.8,-25.5833,290.88,99,20,1.79,PT,1699936330
71,karratha,-20.7377,116.8463,303.81,36,11,8.7,AU,1699936330
72,laayoune plage,-20.7377,116.8463,303.81,36,11,8.7,AU,1699936330
73,salekhard,66.53,66.6019,256.17,98,100,1.3,RU,1699936331
74,polyarnyy,69.1989,33.4478,264.09,97,95,1.26,RU,1699936332
75,kavieng,-2.5744,150.7967,302.03,67,48,2.15,PG,1699936332
76,nova vicosa,-17.8919,-39.3719,297.45,83,48,6.45,BR,1699936118
77,richards bay,-28.783,32.0377,290.75,78,100,4.69,ZA,1699936085
78,ovalle,-30.5983,-71.2003,289.37,57,0,0.77,CL,1699936153
79,kristiansund,63.1115,7.732,273.51,64,75,2.06,NO,1699936334
80,howrah,22.5892,88.3103,299.15,69,20,2.06,IN,1699936334
81,dudinka,69.4058,86.1778,248.24,95,17,1.44,RU,1699936108
82,kuna,43.4918,-116.4201,285.48,86,0,0.0,US,1699936335
83,geraldton,-28.7667,114.6,299.38,61,40,5.14,AU,1699936270
84,tolanaro,-25.0319,46.9987,298.19,78,20,4.12,MG,1699936335
85,taveta,-3.3963,37.6736,296.27,83,20,1.85,KE,1699936336
86,fitzgerald,31.7149,-83.2526,287.12,87,0,0.0,US,1699936336
87,araguaina,-7.1911,-48.2072,299.95,46,0,0.75,BR,1699936337
88,devils lake,48.1128,-98.8651,279.23,65,0,3.6,US,1699936337
89,camana,-16.6228,-72.7111,291.98,86,35,2.62,PE,1699936337
90,pauini,-7.7136,-66.9764,297.24,89,11,1.21,BR,1699936338
91,sisimiut,66.9395,-53.6735,263.02,75,99,3.7,GL,1699936338
92,touros,-5.1989,-35.4608,299.4,79,81,5.13,BR,1699936338
93,chul'man,56.8479,124.9104,262.29,86,100,0.28,RU,1699936339
94,minas de marcona,-15.2119,-75.1103,286.62,89,66,6.08,PE,1699936339
95,westport,41.1415,-73.3579,279.83,79,0,0.45,US,1699936042
96,edinburgh of the seven seas,-37.0676,-12.3116,286.65,76,12,11.67,SH,1699936340
97,kuybyshev,55.4475,78.3218,275.74,81,99,3.31,RU,1699936340
98,vingt cinq,55.4475,78.3218,275.74,81,99,3.31,RU,1699936340
99,nabire,-3.3667,135.4833,305.77,52,55,2.37,ID,1699936341
100,al kharijah,25.4514,30.5464,294.26,54,1,3.68,EG,1699936341
101,thompson,55.7435,-97.8558,270.24,93,75,1.54,CA,1699936342
102,villa union,23.2,-106.2333,299.77,88,0,0.0,MX,1699936342
103,korop,51.5664,32.9586,274.56,94,9,3.29,UA,1699936342
104,saipan,15.1355,145.701,304.54,66,40,8.75,MP,1699936343
105,oum hadjer,13.2954,19.6966,300.66,31,93,3.91,TD,1699936343
106,puerto natales,-51.7236,-72.4875,273.26,86,81,3.75,CL,1699936304
